Time,CurrentSize,AverageSize
7.12,0,28528
7.13,0,28528
7.14,0,28528
7.15,0,28528
7.16,0,28528
7.17,0,28528
7.18,0,28528
7.19,0,28528
7.2,0,28528
7.21,0,28528
7.22,0,28528
7.23,0,28528
7.24,0,28528
7.25,0,28528
7.26,0,28528
7.27,0,28528
7.28,0,28528
7.29,0,28528
7.3,0,28528
7.31,0,28528
7.32,0,28528
7.33,0,28528
7.34,0,28528
7.35,0,28528
7.36,0,28528
7.37,0,28528
7.38,0,28528
7.39,0,28528
7.4,0,28528
7.41,0,28528
7.42,0,28528
7.43,0,28528
7.44,0,28528
7.45,0,28528
7.46,0,28528
7.47,0,28528
7.48,0,28528
7.49,0,28528
7.5,0,28528
7.51,0,28528
7.52,0,28528
7.53,0,28528
7.54,0,28528
7.55,0,28528
7.56,0,28528
7.57,0,28528
7.58,0,28528
7.59,0,28528
7.6,0,28528
7.61,0,28528
7.62,0,28528
7.63,0,28528
7.64,0,28528
7.65,0,28528
7.66,0,28528
7.67,0,28528
7.68,0,28528
7.69,0,28528
7.7,0,28528
7.71,0,28528
7.72,0,28528
7.73,0,28528
7.74,0,28528
7.75,0,28528
7.76,0,28528
7.77,0,28528
7.78,1,28529
7.79,1,28530
7.8,1,28531
7.81,1,28532
7.82,1,28533
7.83,2,28535
7.84,2,28537
7.85,2,28539
7.86,2,28541
7.87,1,28542
7.88,3,28545
7.89,3,28548
7.9,3,28551
7.91,3,28554
7.92,4,28558
7.93,4,28562
7.94,4,28566
7.95,4,28570
7.96,4,28574
7.97,5,28579
7.98,5,28584
7.99,5,28589
8,5,28594
8.01,5,28599
8.02,6,28605
8.03,6,28611
8.04,6,28617
8.05,6,28623
8.06,6,28629
8.07,7,28636
8.08,7,28643
8.09,7,28650
8.1,7,28657
8.11,7,28664
8.12,8,28672
8.13,8,28680
8.14,8,28688
8.15,8,28696
8.16,8,28704
8.17,9,28713
8.18,9,28722
8.19,9,28731
8.2,9,28740
8.21,8,28748
8.22,10,28758
8.23,10,28768
8.24,10,28778
8.25,10,28788
8.26,11,28799
8.27,11,28810
8.28,11,28821
8.29,11,28832
8.3,11,28843
8.31,12,28855
8.32,12,28867
8.33,12,28879
8.34,12,28891
8.35,13,28904
8.36,13,28917
8.37,13,28930
8.38,14,28944
8.39,14,28958
8.4,15,28973
8.41,15,28988
8.42,15,29003
8.43,16,29019
8.44,16,29035
8.45,17,29052
8.46,17,29069
8.47,18,29087
8.48,18,29105
8.49,18,29123
8.5,19,29142
8.51,19,29161
8.52,20,29181
8.53,20,29201
8.54,20,29221
8.55,19,29240
8.56,21,29261
8.57,22,29283
8.58,22,29305
8.59,23,29328
8.6,24,29352
8.61,24,29376
8.62,25,29401
8.63,25,29426
8.64,25,29451
8.65,27,29478
8.66,27,29505
8.67,27,29532
8.68,24,29556
8.69,24,29580
8.7,26,29606
8.71,26,29632
8.72,26,29658
8.73,23,29681
8.74,23,29704
8.75,23,29727
8.76,25,29752
8.77,25,29777
8.78,25,29802
8.79,22,29824
8.8,22,29846
8.81,22,29868
8.82,22,29890
8.83,22,29912
8.84,22,29934
8.85,22,29956
8.86,22,29978
8.87,24,30002
8.88,24,30026
8.89,24,30050
8.9,21,30071
8.91,21,30092
8.92,21,30113
8.93,23,30136
8.94,23,30159
8.95,23,30182
8.96,20,30202
8.97,20,30222
8.98,20,30242
8.99,22,30264
9,22,30286
9.01,22,30308
9.02,19,30327
9.03,19,30346
9.04,21,30367
9.05,21,30388
9.06,21,30409
9.07,18,30427
9.08,18,30445
9.09,18,30463
9.1,20,30483
9.11,20,30503
9.12,20,30523
9.13,17,30540
9.14,17,30557
9.15,17,30574
9.16,19,30593
9.17,19,30612
9.18,19,30631
9.19,16,30647
9.2,16,30663
9.21,18,30681
9.22,18,30699
9.23,18,30717
9.24,15,30732
9.25,15,30747
9.26,15,30762
9.27,17,30779
9.28,17,30796
9.29,17,30813
9.3,14,30827
9.31,14,30841
9.32,14,30855
9.33,16,30871
9.34,16,30887
9.35,16,30903
9.36,13,30916
9.37,15,30931
9.38,15,30946
9.39,15,30961
9.4,15,30976
9.41,16,30992
9.42,16,31008
9.43,16,31024
9.44,17,31041
9.45,17,31058
9.46,17,31075
9.47,18,31093
9.48,18,31111
9.49,18,31129
9.5,19,31148
9.51,19,31167
9.52,19,31186
9.53,20,31206
9.54,20,31226
9.55,20,31246
9.56,20,31266
9.57,22,31288
9.58,22,31310
9.59,22,31332
9.6,23,31355
9.61,23,31378
9.62,23,31401
9.63,23,31424
9.64,24,31448
9.65,24,31472
9.66,25,31497
9.67,26,31523
9.68,26,31549
9.69,26,31575
9.7,25,31600
9.71,26,31626
9.72,26,31652
9.73,26,31678
9.74,24,31702
9.75,24,31726
9.76,25,31751
9.77,26,31777
9.78,26,31803
9.79,26,31829
9.8,26,31855
9.81,27,31882
9.82,27,31909
9.83,27,31936
9.84,27,31963
9.85,27,31990
9.86,28,32018
9.87,28,32046
9.88,29,32075
9.89,29,32104
9.9,30,32134
9.91,30,32164
9.92,30,32194
9.93,30,32224
9.94,30,32254
9.95,30,32284
9.96,32,32316
9.97,32,32348
9.98,33,32381
9.99,33,32414
