Time,Source,Sequence
1.12242,4,44069
1.12251,4,45027
1.1226,4,45985
1.12269,4,46943
1.12277,4,47901
1.12287,4,48859
1.12295,4,49817
1.12305,4,50775
1.12313,4,51733
1.12323,4,52691
1.12331,4,53649
1.12341,4,54607
1.12349,4,55565
1.12359,4,56523
1.12367,4,57481
1.12377,4,58439
1.12385,4,59397
1.12395,1,60355
1.12403,1,61313
1.12413,1,62271
1.12421,1,63229
1.12431,1,64187
1.12439,1,65145
1.12449,1,66103
1.12457,1,67061
1.12467,1,68019
1.12475,1,68977
1.12485,1,69935
1.12493,1,70893
1.12503,1,71851
1.12511,1,72809
1.12521,1,73767
1.12529,1,74725
1.12539,1,75683
1.12547,1,76641
1.12557,1,77599
1.12565,1,78557
1.12575,1,79515
1.12583,1,80473
1.12593,1,81431
1.12601,1,82389
1.12611,1,83347
1.12619,1,84305
1.12629,1,85263
1.12637,1,86221
1.12647,1,87179
1.12655,1,88137
1.12665,1,89095
1.12673,1,90053
1.12683,1,91011
1.12691,1,91969
1.12701,1,92927
1.12709,1,93885
1.12719,1,94843
1.12727,1,95801
1.12737,1,96759
1.12745,1,97717
1.12755,1,98675
1.12763,1,99633
1.12773,1,100591
1.12781,1,101549
1.12791,1,102507
1.12799,1,103465
1.12809,1,104423
1.12817,1,105381
1.12827,1,106339
1.12835,1,107297
1.12845,1,108255
1.12853,1,109213
1.12863,1,110171
1.12871,1,111129
1.12881,1,112087
1.12889,1,113045
1.12899,1,114003
1.12907,1,114961
1.12917,1,115919
1.12925,1,116877
1.12935,1,117835
1.12943,1,118793
1.12953,1,119751
1.12961,1,120709
1.12971,2,60355
1.12979,2,61313
1.12989,2,62271
1.12997,2,63229
1.13007,2,64187
1.13015,2,65145
1.13025,2,66103
1.13033,2,67061
1.13043,2,68019
1.13051,2,68977
1.13061,2,69935
1.13069,2,70893
1.13079,2,71851
1.13087,2,72809
1.13097,2,73767
1.13105,2,74725
1.13115,2,75683
1.13123,2,76641
1.13133,2,77599
1.13141,2,78557
1.13151,2,79515
1.13159,2,80473
1.13169,2,81431
1.13177,2,82389
1.13187,2,83347
1.13195,2,84305
1.13205,2,85263
